customer_id,age,gender,employment_type,monthly_income,cibil_score,state,age_bucket
CU001636,30,Male,Salaried,79897,896,Delhi,21-30
CU004543,31,Male,Salaried,30596,657,Kerala,31-40
CU002570,53,Male,"Self Employed",71458,630,Delhi,51-60
CU000063,39,Male,"Self Employed",58242,871,Telangana,31-40
CU000770,56,Male,Salaried,86916,823,Maharashtra,51-60
CU004125,34,Male,"Self Employed",42833,811,"West Bengal",31-40
CU001693,35,Female,Salaried,26199,689,"Uttar Pradesh",31-40
CU003555,41,Male,Salaried,67111,674,Delhi,41-50
CU003939,47,Female,Salaried,65487,562,"Tamil Nadu",41-50
CU000611,43,Female,Salaried,12000,696,Karnataka,41-50
CU002459,49,Female,"Self Employed",81682,520,Kerala,41-50
CU002115,34,Female,Salaried,49754,689,Maharashtra,31-40
CU002551,43,Female,Salaried,59993,781,Delhi,41-50
CU002361,34,Male,"Self Employed",40856,654,"Andra Pradesh",31-40
CU000373,39,Male,Salaried,83778,726,"Andra Pradesh",31-40
CU003591,22,Male,Salaried,48606,661,Karnataka,21-30
CU004327,26,Male,Salaried,33381,763,Telangana,21-30
CU002774,46,Male,Salaried,48187,688,Telangana,41-50
CU003979,29,Male,Salaried,72084,870,Kerala,21-30
CU000350,47,Male,Salaried,57383,865,"Tamil Nadu",41-50
CU002518,43,Male,Salaried,47366,579,"Andra Pradesh",41-50
CU000170,35,Female,Salaried,43511,735,"Uttar Pradesh",31-40
CU001565,49,Male,Salaried,25704,708,Maharashtra,41-50
CU001915,50,Male,Salaried,68754,724,Gujarat,41-50
CU004570,37,Female,"Self Employed",39862,644,Maharashtra,31-40
CU002424,49,Male,Salaried,25812,573,Gujarat,41-50
CU000999,46,Male,Salaried,33310,574,DELHI,41-50
CU000395,34,Male,"Self Employed",29079,851,Maharashtra,31-40
CU002724,36,Male,"Self Employed",44788,764,Telangana,31-40
CU001141,35,Male,Salaried,26424,641,"Tamil Nadu",31-40
CU000797,39,Male,Salaried,89250,713,Delhi,31-40
CU000608,27,Male,Salaried,29600,563,Telangana,21-30
CU001823,24,Male,"Self Employed",26434,689,"Andra Pradesh",21-30
CU003121,34,Male,"Self Employed",40383,754,Telangana,31-40
CU001708,43,Female,Salaried,24987,603,"Tamil Nadu",41-50
CU000824,37,Male,"Self Employed",41993,650,Maharashtra,31-40
CU003701,46,Male,"Self Employed",66718,610,Gujarat,41-50
CU002935,29,Male,Salaried,48024,602,"Andra Pradesh",21-30
CU001407,21,Male,"Self Employed",42434,750,Maharashtra,21-30
CU001585,39,Male,Salaried,28314,761,Karnataka,31-40
CU002359,54,Male,Salaried,40296,630,Telangana,51-60
CU001631,34,Male,"Self Employed",32451,702,Maharashtra,31-40
