loan_id,customer_id,disbursal_date,loan_amount,tenure_months,interest_rate,emi_amount,vehicle_type,branch,disbursal_date_raw
LN001555,CU002818,2021-08-16,108069,48,15.15,3015.86,"Two wheeler",kozhikode,"16 Aug 2021"
LN002279,CU000016,2022-09-08,87272,36,18.15,3161.66,"Two wheeler",kochi,08/09/2022
LN003733,CU003811,2024-02-14,178347,24,14.01,8563.8,"Two wheeler",thrissur,14/02/2024
LN004137,CU000363,2023-12-27,66550,60,11.7,1470.3,"Commercial Vehicle",chennai,2023-12-27
LN003296,CU000011,2022-01-12,203808,36,18.4,7409.11,"Commercial Vehicle",bangalore,12/01/2022
LN003885,CU001202,2023-08-20,247674,24,16.66,12205.14,"Two wheeler",hyderabad,"20 Aug 2023"
LN000863,CU004507,2023-01-09,150775,24,13.71,7218.5,Car,chennai,09/01/2023
LN002235,CU004436,2021-12-31,40000,36,10.48,1299.72,"Two wheeler",delhi,2021-12-31
LN003062,CU004334,2022-04-18,138221,48,15.5,3881.92,Car,kochi,"18 Apr 2022"
LN002056,CU001831,2021-03-21,142507,36,10.09,4604.32,Car,bangalore,03/21/2021
LN000596,CU001259,2021-03-25,58935,60,13.52,1356.69,"Commercial Vehicle",bangalore,"25 Mar 2021"
LN001832,CU001636,2022-10-14,115614,24,13.32,5513.89,"Two wheeler",hyderabad,10/14/2022
LN004197,CU001095,2023-05-24,158099,24,15.96,7738,"Two wheeler",mumbai,05/24/2023
LN000465,CU002015,2022-03-14,76306,60,14.95,1813.31,"Two wheeler",coimbatore,2022-03-14
LN003891,CU002107,2024-06-13,155984,36,18.19,5654.07,"Commercial Vehicle",pune,"13 Jun 2024"
LN001724,CU001828,2022-07-28,53345,24,15.23,2592.35,"Two wheeler",thrissur,2022-07-28
LN004352,CU003270,2021-07-14,118393,36,13.57,4021.71,"Commercial Vehicle",bangalore,2021-07-14
LN001500,CU003343,2023-10-13,79465,36,12.13,2644.31,"Two wheeler",mumbai,2023-10-13
LN004487,CU001646,2021-06-12,127203,36,13.49,4316.06,"Commercial Vehicle",ahmedabad,2021-06-12
LN004438,CU001945,2022-11-12,105705,36,12.96,3559.58,Car,kochi,2022-11-12
LN003552,CU001111,2023-08-28,146147,60,17.45,3667.59,Car,coimbatore,2023-08-28
LN004499,CU004521,2022-02-08,92012,24,16.41,4523.24,Car,kolkata,08/02/2022
LN001461,CU004360,2021-02-20,120730,60,15.26,2888.66,Car,pune,2021-02-20
LN000890,CU002348,2023-04-22,66426,36,16.9,2364.96,"Commercial Vehicle",delhi,04/22/2023
LN001602,CU003618,2023-02-15,161454,12,13.92,14490.41,"Two wheeler",ahmedabad,2023-02-15
LN001098,CU001033,2022-09-23,114660,48,13.23,3089.15,"Two wheeler",thrissur,23/09/2022
LN004657,CU001560,2022-08-06,233458,24,10.46,10822.54,"Two wheeler",hyderabad,"06 Aug 2022"
LN002496,CU002794,2023-06-16,59940,48,16.01,1699.02,"Two wheeler",delhi,2023-06-16
LN004277,CU002811,2024-05-23,112349,36,17.7,4044.8,Car,ahmedabad,2024-05-23
LN000318,CU000170,2023-10-28,101820,24,17.04,5036.17,Car,delhi,10/28/2023
LN000550,CU003657,2022-11-23,96286,48,18.36,2846.55,"Commercial Vehicle",delhi,2022-11-23
LN003395,CU003947,2024-01-27,110618,36,16.9,3938.33,Car,mumbai,2024-01-27
LN003951,CU001530,2021-07-29,200814,12,16.48,18265.67,"Two wheeler",coimbatore,07/29/2021
LN002822,CU001855,2021-05-31,152442,48,9.87,3856.81,"Two wheeler",thrissur,31/05/2021
LN004591,CU000333,2023-02-11,137541,36,10.36,4461.34,"Commercial Vehicle",kolkata,11/02/2023
LN002724,CU000375,2022-12-19,53111,12,11.92,4716.86,Car,coimbatore,"19 Dec 2022"
LN004810,CU002474,2022-11-16,168226,48,11.66,4402,"Two wheeler",pune,11/16/2022
LN000563,CU000344,2021-05-11,161177,60,15.69,3893.01,"Two wheeler",ahmedabad,"11 May 2021"
LN004660,CU000054,2022-10-09,148759,60,11.09,3241.06,"Two wheeler",ahmedabad,"09 Oct 2022"
LN000329,CU004401,2022-07-19,230186,48,17.26,6673.03,"Two wheeler",delhi,19/07/2022
LN000965,CU000708,2023-10-12,226826,60,18.47,5818.04,Car,thrissur,2023-10-12
LN003523,CU000621,2021-03-20,191429,48,9.76,4833.1,Car,delhi,"20 Mar 2021"
LN003912,CU002477,2024-01-29,373654,36,15.72,13084.97,"Two wheeler",delhi,29/01/2024
LN003423,CU001115,2021-09-28,153386,48,12.98,4113.44,Car,kozhikode,"28 Sep 2021"
LN000073,CU002741,2021-03-25,98748,12,13.75,8854.69,Tractor,kozhikode,03/25/2021
LN001807,CU004303,2022-04-16,50705,12,14.43,4562.92,Car,kochi,16/04/2022
LN004483,CU000443,2024-02-22,88607,48,13.8,2412.44,Car,kolkata,"22 Feb 2024"
LN003598,CU003267,2023-09-29,138929,36,17.86,5012.86,Car,kochi,09/29/2023
LN002278,CU001749,2022-09-11,137984,36,10.51,4485.47,"Commercial Vehicle",ahmedabad,11/09/2022
LN002164,CU002641,2022-07-12,133197,24,17.55,6620.82,"Commercial Vehicle",coimbatore,12/07/2022
LN002003,CU000550,2022-03-06,102783,36,12.68,3447.34,"Two wheeler",kochi,06/03/2022
LN003174,CU001827,2023-10-15,175520,60,12.42,3941.7,"Two wheeler",pune,"15 Oct 2023"
LN001108,CU001816,2021-10-23,170106,60,17.48,4271.6,"Two wheeler",kolkata,23/10/2021
LN004855,CU003251,2024-03-28,239609,24,13.76,11477.17,"Commercial Vehicle",kolkata,2024-03-28
LN002055,CU000443,2021-05-09,146433,24,13.98,7029.29,"Two wheeler",pune,2021-05-09
LN000281,CU000585,2023-08-24,73880,36,13.58,2510,"Two wheeler",coimbatore,24/08/2023
LN002464,CU003174,2024-03-26,276475,60,11.74,6113.77,Car,bangalore,26/03/2024
LN002778,CU003210,2022-03-16,74421,48,17.86,2180.68,Car,kochi,03/16/2022
LN002670,CU003758,2021-11-19,416138,36,15.59,14546.08,Car,kochi,2021-11-19
LN000381,CU002307,2022-08-08,110540,48,17.1,3195.36,"Two wheeler",pune,08/08/2022
LN002922,CU003200,2023-06-21,60731,36,11.72,2009.03,Car,kochi,06/21/2023
LN003835,CU001910,2022-04-15,176859,36,17.63,6361.1,"Two wheeler",kozhikode,"15 Apr 2022"
LN004888,CU000323,2023-07-07,76520,24,15.62,3732.78,Car,ahmedabad,2023-07-07
LN004568,CU003012,2023-04-22,62704,48,14.36,1724.82,"Two wheeler",thrissur,2023-04-22
LN003848,CU001796,2023-06-20,264059,36,9.77,8491.96,Car,thrissur,20/06/2023
LN001446,CU004217,2023-11-21,149597,48,17.19,4331.35,Car,kochi,2023-11-21
LN004828,CU002128,2021-06-24,88673,24,18.29,4439.35,"Commercial Vehicle",kozhikode,06/24/2021
LN001586,CU002750,2021-08-03,90967,48,17.78,2661.71,"Two wheeler",kozhikode,03/08/2021
