Customer_ID,Age,Gender,Employment_Type,Monthly_Income,CIBIL_Score,State
CU001636,30,MALE,salaried,"₹79,897",896,New Delhi
CU004543,31,Male,salaried,30596,657,Kerala
CU003486,43,MALE,SALARIED,-,789,MH
CU002570,53,male,SELF-EMPLOYED,71458,630,New Delhi
CU000063,39,Male,self employed,58242,871,TELANGANA
CU000770,56,male,Salaried ,86916,823,Maharashtra
CU004125,34,male,Self-Employed,42833,811,WestBengal
CU001693,35,F,salaried,26199,689,Uttar Pradesh
CU003555,41,M,salaried,"₹67,111",674,Delhi
CU003939,47,f,salaried,65487,562,tamil nadu
CU000611,43,female,Salaried ,12000,696,karnataka
CU002459,49,f,SELF-EMPLOYED,81682,520,KERALA
CU002115,34,Female,SALARIED,49754,689,Maharashtra
CU002551,43,f,Salaried ,59993,781,New Delhi
CU002361,34,M,SELF-EMPLOYED,"₹40,856",654,Andhra Pradesh 
CU000373,39,M,SALARIED,83778,726,Andhra Pradesh 
CU003591,22,male,salaried,48606,661,karnataka
CU004327,26,Male,salaried,33381,763,TELANGANA
CU000911,40,m,N/A,-,636,
CU002774,46,N/A,Salaried,"₹48,187",688,Telangana
CU003979,29,male,SALARIED,"₹72,084",870,Keral
CU000350,47,m,Salaried,57383,865,tamil nadu
CU002518,43,MALE,SALARIED,47366,579,andhra pradesh
CU000170,35,Female,Salaried ,43511,735,UP
CU001565,49,MALE,salaried,25704,708,maharashtra
CU001915,50,MALE,SALARIED,68754,724,gujarat
CU004570,37,Female,selfemployed,39862,644,maharashtra
CU002424,49,M,Salaried,25812,573,gujarat
CU000999,46,MALE,Salaried ,33310,574,DELHI
CU000395,34,Male,Self-Employed,29079,851,MH
CU002724,36,N/A,N/A,44788,764,Telangana
CU001141,35,M,Salaried ,26424,641,TN
CU000797,39,male,salaried,"₹89,250",713,New Delhi
CU001769,46,F,Salaried,0,655,Uttar Pradesh 
CU000608,27,MALE,Salaried,29600,563,TELANGANA
CU001823,24,MALE,Self Employed,26434,689,Andhra Pradesh
CU003121,34,MALE,Self Employed,"₹40,383",754,Telangana
CU001708,43,f,SALARIED,24987,603,TamilNadu
CU000824,37,MALE,Self-Employed,"₹41,993",650,maharashtra
CU002507,43,male,Self Employed,0,778,telangana
CU003701,46,male,selfemployed,"₹66,718",610,Gujrat
CU003746,41,male,self employed,42013,unknown,Uttar Pradesh
CU002935,29,Male,SALARIED,48024,602,andhra pradesh
CU001407,21,MALE,N/A,"₹42,434",750,MH
CU001585,39,M,salaried,28314,761,Karnataka
CU002359,54,MALE,Salaried,40296,630,telangana
CU001631,34,M,Self Employed,32451,702,Maharashtra
CU001099,45,MALE,salaried,"₹92,887",876,Kerala 
CU002380,35,Male,Salaried,21680,689,Karnataka
CU003216,39,MALE,SELF-EMPLOYED,58938,462,Karnatka
CU004328,37,male,selfemployed,"₹36,938",687,karnataka
CU001079,43,MALE,Salaried ,40887,837,Maharastra
CU000022,34,Male,salaried,"₹50,922",-300,Uttar Pradesh
CU002017,31,MALE,Self Employed,"₹12,000",641,Tamilnadu
CU002721,52,female,SELF-EMPLOYED,24067,711,GJ
CU001458,45,m,salaried,31940,630,kerala
CU001560,45,Female,SALARIED,37290,493,WB
CU001160,50,m,salaried,31866,656,New Delhi
CU001214,44,FEMALE,Salaried ,43728,549,telangana
CU004063,35,Male,N/A,59522,633,Delhi
CU004304,28,MALE,Salaried ,15357,595,Andhra Pradesh 
CU001345,43,male,salaried,40597,547,Tamil Nadu
CU004575,50,M,Salaried,17759,765,karnataka
CU000645,42,f,self employed,75420,594,TN
CU004536,34,Male,salaried,59622,622,Karnataka
CU002077,30,MALE,salaried,65370,709,West Bengal
CU003033,29,m,SALARIED,73336,688,KERALA
CU001300,21,Male,Self-Employed,"₹69,540",537,telangana
CU003950,21,Male,Salaried,40526,512, Kerala
CU002589,36,Male,selfemployed,38893,687,WestBengal
CU000359,31,female,selfemployed,65599,649,delhi
CU002937,44,female,Salaried ,22856,703,gujarat
CU000166,39,F,Salaried ,33487,690,tamil nadu
CU001711,46,MALE,salaried,61205,817,
CU001604,44,M,SELF-EMPLOYED,65760,748,gujarat
CU001564,35,FEMALE,salaried,-,712,WestBengal
CU002679,36,MALE,Salaried ,57135,650,Keral
CU002621,38,N/A,self employed,34574,737,telangana
CU004182,45,Male,SALARIED,43172,759, Kerala
CU001625,31,MALE,SALARIED,18040,573,Gujarat
CU000837,28,Male,Self Employed,37048,592,West Bengal
CU001129,32,F,self employed,41987,611,KERALA
CU002685,34,M,self employed,60064,785,Gujrat
CU001901,40,Female,Salaried,40214,813,Delhi
CU000772,52,male,selfemployed,72529,708,Tamil Nadu
CU000995,27,FEMALE,SALARIED,52203,583,DELHI
CU002515,40,FEMALE,Salaried ,63274,700,MH
CU003740,37,M,SALARIED,69016,564,TamilNadu
CU001543,24,f,SELF-EMPLOYED,"₹68,598",752,gujarat
CU001427,53,Male,Self Employed,"₹70,106",618,telangana
