Loan_ID,Customer_ID,Disbursal_Date,Loan_Amount,Tenure_Months,Interest_Rate,EMI_Amount,Vehicle_Type,Branch
LN001555,CU002818,16 Aug 2021,108069,48,15.15,3015.86,TWO WHEELER,Kozhikode
LN002279,CU000016,08/09/2022,87272,36,18.15,3161.66,Two-Wheeler,Kochi
LN003733,CU003811,14/02/2024,"₹178,347",24,14.01,8563.8,Two-Wheeler,Thrissur
LN004137,CU000363,2023-12-27,66550,60,11.7,1470.3,commercial vehicle,Chennai
LN003296,CU000011,12/01/2022,"₹203,808",36,18.4,7409.11,commercial vehicle,Bangalore
LN003885,CU001202,20 Aug 2023,247674,24,16.66,12205.14,Two Wheeler,Hyderabad
LN000863,CU004507,09/01/2023,150775,24,13.71,7218.5,car,Chennai
LN002235,CU004436,2021-12-31,40000,36,10.48,1299.72,2 Wheeler,  Delhi NCR 
LN003062,CU004334,18 Apr 2022,138221,48,15.5,3881.92,CAR,Kochi
LN002056,CU001831,03/21/2021,142507,36,10.09,4604.32,car,Bangalore
LN000596,CU001259,25 Mar 2021,58935,60,13.52,1356.69,CV,Bangalore
LN001832,CU001636,10/14/2022,"₹115,614",24,13.32,5513.89,2 Wheeler,Hyderabad
LN004197,CU001095,05/24/2023,158099,24,15.96,7738.0,Two-Wheeler,Mumbai
LN000465,CU002015,14-03-2022,76306,60,14.95,1813.31,two wheeler,Coimbatore
LN003891,CU002107,13 Jun 2024,155984,36,18.19,5654.07,Commercial  Vehicle,Pune
LN001724,CU001828,2022-07-28,53345,24,15.23,2592.35,Two-Wheeler,Thrissur
LN004352,CU003270,14-07-2021,"₹118,393",36,13.57,4021.71,Commercial Vehicle,Bangalore
LN001500,CU003343,2023-10-13,79465,36,12.13,2644.31,Two Wheeler,Mumbai
LN004487,CU001646,2021-06-12,127203,36,13.49,4316.06,commercial vehicle,Ahmedabad
LN004933,CU000580,02 May 2022,"₹167,897",24,,7915.26,Commercial  Vehicle,Delhi NCR
LN004438,CU001945,2022-11-12,105705,36,12.96,3559.58,Car ,Kochi
LN003552,CU001111,28-08-2023,"₹146,147",60,17.45,3667.59,Car,Coimbatore
LN004499,CU004521,08/02/2022,"₹92,012",24,16.41,4523.24,N/A,Kolkata
LN001461,CU004360,20-02-2021,120730,60,15.26,2888.66,Car,Pune
LN000890,CU002348,04/22/2023,66426,36,16.9,2364.96,CV,Delhi NCR
LN001602,CU003618,2023-02-15,161454,12,13.92,14490.41,Two Wheeler,Ahmedabad
LN001098,CU001033,23/09/2022,114660,48,13.23,3089.15,two wheeler,Thrissur
LN002923,CU003527,13-01-2021,302917,24,,14446.8,Tractor,Pune
LN004657,CU001560,06 Aug 2022,233458,24,10.46,10822.54,two wheeler,Hyderabad
LN002496,CU002794,2023-06-16,59940,48,16.01,1699.02,TWO WHEELER,Delhi NCR
LN004277,CU002811,23-05-2024,112349,36,17.7,4044.8,Car ,Ahmedabad
LN000318,CU000170,10/28/2023,101820,24,17.04,5036.17,Car,Delhi NCR
LN000550,CU003657,23-11-2022,96286,48,18.36,2846.55,Commercial  Vehicle,Delhi NCR
LN003395,CU003947,27-01-2024,110618,36,16.9,3938.33,Car,Mumbai
LN003951,CU001530,07/29/2021,"₹200,814",12,16.48,18265.67,2 Wheeler,Coimbatore
LN002822,CU001855,31/05/2021,"₹152,442",48,9.87,3856.81,two wheeler,Thrissur
LN004591,CU000333,11/02/2023,137541,36,10.36,4461.34,Commercial  Vehicle,Kolkata
LN002724,CU000375,19 Dec 2022,53111,12,11.92,4716.86,CAR,Coimbatore
LN004810,CU002474,11/16/2022,168226,48,11.66,4402.0,Two Wheeler,Pune
LN000563,CU000344,11 May 2021,161177,60,15.69,3893.01,TWO WHEELER,Ahmedabad
LN004660,CU000054,09 Oct 2022,148759,60,11.09,3241.06,TWO WHEELER,Ahmedabad
LN000329,CU004401,19/07/2022,230186,48,17.26,6673.03,Two-Wheeler,Delhi NCR
LN000965,CU000708,12-10-2023,226826,60,18.47,5818.04,CAR,Thrissur
LN003523,CU000621,20 Mar 2021,191429,48,9.76,4833.1,car,Delhi NCR
LN003912,CU002477,29/01/2024,373654,36,15.72,13084.97,two wheeler,Delhi NCR
LN003423,CU001115,28 Sep 2021,153386,48,12.98,4113.44,car,Kozhikode
LN000073,CU002741,03/25/2021,98748,12,13.75,8854.69,TRACTOR,Kozhikode
LN001807,CU004303,16/04/2022,50705,12,14.43,4562.92,car,Kochi
LN004483,CU000443,22 Feb 2024,"₹88,607",48,13.8,2412.44,car,Kolkata
LN003598,CU003267,09/29/2023,138929,36,17.86,5012.86,CAR,Kochi
LN002278,CU001749,11/09/2022,"₹137,984",36,10.51,4485.47,commercial vehicle,Ahmedabad
LN002164,CU002641,12/07/2022,"₹133,197",24,17.55,6620.82,CV,Coimbatore
LN002003,CU000550,06/03/2022,"₹102,783",36,12.68,3447.34,two wheeler,Kochi
LN003174,CU001827,15 Oct 2023,175520,60,12.42,3941.7,TWO WHEELER,Pune
LN001108,CU001816,23/10/2021,170106,60,17.48,4271.6,2 Wheeler,Kolkata
LN004855,CU003251,28-03-2024,239609,24,13.76,11477.17,commercial vehicle,Kolkata
LN002055,CU000443,09-05-2021,146433,24,13.98,7029.29,TWO WHEELER,Pune
LN000281,CU000585,24/08/2023,73880,36,13.58,2510.0,two wheeler,Coimbatore
LN002464,CU003174,26/03/2024,"₹276,475",60,11.74,6113.77,Car,  Bangalore 
LN002778,CU003210,03/16/2022,74421,48,17.86,2180.68,Car,Kochi
LN002670,CU003758,19-11-2021,416138,36,15.59,14546.08,CAR,Kochi
LN000381,CU002307,08/08/2022,110540,48,17.1,3195.36,2 Wheeler,Pune
LN002922,CU003200,06/21/2023,"₹60,731",36,11.72,2009.03,CAR,Kochi
LN003835,CU001910,15 Apr 2022,176859,36,17.63,6361.1,2 Wheeler,Kozhikode
LN004888,CU000323,2023-07-07,"₹76,520",24,15.62,3732.78,Car,Ahmedabad
LN004568,CU003012,2023-04-22,62704,48,14.36,1724.82,2 Wheeler,Thrissur
LN003848,CU001796,20/06/2023,264059,36,9.77,8491.96,Car ,Thrissur
LN001446,CU004217,21-11-2023,149597,48,17.19,4331.35,CAR,Kochi
LN004828,CU002128,06/24/2021,88673,24,18.29,4439.35,CV,Kozhikode
LN001586,CU002750,03/08/2021,"₹90,967",48,17.78,2661.71,Two-Wheeler,Kozhikode
LN000990,CU000545,13/04/2023,92742,24,16.84,4578.25,TWO WHEELER,Delhi NCR
LN003925,CU002340,2022-12-18,56408,36,16.22,1989.27,Car,Ahmedabad
LN001796,CU003961,01/21/2022,143096,36,11.05,4688.17,Commercial  Vehicle,Pune
LN003988,CU000778,29/04/2024,231028,24,10.24,10686.38,Car ,Bangalore
LN000055,CU003501,04/13/2021,54960,12,17.82,5034.03,TWO WHEELER,Mumbai
LN004476,CU002756,13 Feb 2024,156440,48,15.25,4373.69,Two Wheeler,Bangalore
LN000883,CU001660,2023-03-07,50001,36,13.98,1708.43,Two Wheeler,Ahmedabad
LN002476,CU003069,18 Aug 2023,274854,24,13.11,13081.27,Two-Wheeler,Kochi
LN001092,CU002647,2021-01-19,"₹136,547",36,14.08,4672.16,Car ,Delhi NCR
LN003319,CU001853,06 Apr 2022,186511,48,10.58,4782.52,commercial vehicle,Hyderabad
LN002224,CU003240,06-01-2021,313036,24,14.58,15115.68,Two Wheeler,Ahmedabad
LN000885,CU002776,08/31/2023,112561,36,10.09,3636.78,Car ,  Thrissur 
LN004719,CU000919,29-04-2024,"₹148,967",24,17.17,7377.44,Car,Chennai
LN002468,CU002113,18 Feb 2023,177078,12,14.71,15958.54,2 Wheeler,Delhi NCR
LN002240,CU002616,07/04/2024,"₹160,410",48,12.58,4270.04,Two-Wheeler,Kochi
LN000378,CU002636,12-06-2022,54186,36,13.38,1835.67,TWO WHEELER,Mumbai
LN003645,CU001159,02/05/2023,88099,48,10.37,2250.11,Commercial Vehicle,Delhi NCR
LN003176,CU003100,04 Sep 2023,183026,36,17.9,6607.65,two wheeler,Delhi NCR
LN000744,CU002365,10/05/2022,93003,36,10.25,3011.87,Two-Wheeler,Bangalore
