Loan_ID,Month_Number,Due_Date,EMI_Due,EMI_Paid,Payment_Date,Days_Late
LN004128,1,16-03-2024,"₹2,310.92",2310.92,2024-03-16,0
LN002669,18,20/07/2023,2467.22,2467.22,30 Jul 2023,10
LN004478,6,14-07-2023,8646.2,8646.2,14/07/2023,0
LN000528,4,21 Jul 2024,7617.84,7617.84,21 Jul 2024,0
LN003451,5,20/07/2023,3692.63,3692.63,31 Jul 2023,11
LN001108,29,2024-03-11,"₹4,271.6",4271.6,2024-03-11,0
LN004601,20,07/03/2023,1748.31,unknown,07/03/2023,0
LN001116,5,23 Nov 2023,4769.4,unknown,2023-11-23,0
LN004968,7,02-03-2022,4274.05,4274.05,02 Mar 2022,0
LN003250,5,2024-07-02,1518.47,1518.47,02/07/2024,0
LN000219,16,04 Aug 2022,2603.83,2603.83,2022-08-04,0
LN001881,4,22 Nov 2023,4589.41,4589.41,11/22/2023,0
LN001922,34,21 Oct 2023,5589.18,5589.18,21-10-2023,0
LN003181,12,2022-07-07,8315.91,8315.91,28 Jul 2022,21
LN003312,13,2024-07-15,4378.5,4378.5,2024-07-15,0
LN000089,7,06/02/2024,9846.16,unknown,02 Jun 2024,0
LN004195,7,07/02/2022,3499.58,3499.58,07/02/2022,0
LN001012,37,04/12/2024,2494.96,2494.96,12/04/2024,0
LN002215,9,2023-07-17,1920.83,unknown,17/07/2023,0
LN003142,18,21/01/2024,4736.64,4736.64,27 Jan 2024,6
LN000996,7,11/03/2024,4675.73,4675.73,11 Mar 2024,0
LN003115,15,03/26/2023,1461.49,1461.49,26/03/2023,0
LN004731,25,09/09/2023,7434.43,7434.43,09/09/2023,0
LN001711,23,04/17/2024,2890.3,2890.3,2024-04-17,0
LN003549,3,02-01-2024,3776.08,3776.08,02-01-2024,0
LN001859,5,2023-07-25,5867.77,5867.77,07/25/2023,0
LN002363,19,22/09/2023,"₹6,391.36",6391.36,22 Sep 2023,0
LN001861,1,03/14/2021,3002.66,3002.66,14/03/2021,0
LN004806,22,27/06/2024,6841.24,6841.24,unknown,0
LN002398,13,12/07/2023,1715.87,1715.87,07-12-2023,0
LN003643,27,2024-01-07,4546.36,4546.36,18-01-2024,11
LN002212,7,26-01-2024,2429.04,2429.04,26-01-2024,0
LN001714,14,10 Apr 2022,3355.32,3355.32,unknown,6
LN001358,8,2023-02-09,"₹3,498.75",3498.75,02/09/2023,0
LN004652,10,13/07/2023,7050.64,7050.64,13/07/2023,0
LN001328,19,26 Oct 2023,5895.26,5895.26,01/11/2023,6
LN001695,1,20/02/2024,4132.64,4132.64,20-02-2024,0
LN000726,11,02/01/2024,"₹8,259.78",8259.78,unknown,5
LN001235,2,2022-01-15,5391.25,5391.25,unknown,0
LN004947,29,26 Dec 2023,4864.87,4864.87,unknown,0
LN002802,8,03-08-2022,2126.23,2126.23,08/03/2022,0
LN000359,8,03 Feb 2024,2197.68,2197.68,02/21/2024,18
LN003146,4,12/12/2023,3280.42,3280.42,12 Dec 2023,0
LN001306,24,11/21/2023,3399.2,3399.2,21 Nov 2023,0
LN000756,22,23/07/2023,4924.69,4924.69,23-07-2023,0
LN001982,17,13/12/2023,1580.98,1580.98,13-12-2023,0
LN001964,7,14/11/2023,3213.3,2603.41,30 Nov 2023,16
LN004684,18,08/21/2022,2682.11,2682.11,21-08-2022,-1
LN003925,19,10-07-2024,1989.27,1989.27,,50
LN003652,13,03/24/2023,14612.03,14612.03,unknown,0
LN001152,23,07/07/2024,7080.85,7080.85,2024-07-07,0
LN001059,6,20-08-2021,3615.85,3615.85,20 Aug 2021,0
LN004411,2,2022-05-21,1606.45,1606.45,21 May 2022,0
LN000487,7,13 Dec 2022,1334.5,1334.5,13-12-2022,0
LN003782,5,2022-02-28,3720.13,3720.13,02/28/2022,0
LN003554,9,11/16/2022,18361.58,18361.58,2022-11-16,0
LN000903,16,26 Jun 2023,6184.75,6184.75,26 Jun 2023,0
LN003333,27,04/07/2024,"₹2,764.08",2764.08,13-07-2024,9
LN004633,5,2023-03-15,1809.08,1809.08,unknown,0
LN004698,34,22/06/2024,4669.62,4669.62,22-06-2024,0
LN000561,12,30 Jan 2022,11359.02,11359.02,2022-02-02,3
LN002157,19,15 Feb 2024,4911.29,4911.29,02/15/2024,0
LN004400,27,04 Jun 2024,3863.29,3863.29,06/04/2024,0
LN003849,14,27/03/2024,5101.44,5101.44,unknown,45
LN003258,5,2021-08-25,6555.04,6555.04,08/25/2021,0
LN001481,36,2024-04-25,6037.05,6037.05,2024-04-25,0
LN000877,12,08 Oct 2023,8617.89,8617.89,08/10/2023,0
LN004846,11,2022-11-25,6938.19,6938.19,11/25/2022,0
LN000595,14,03/23/2023,"₹6,791.07",6791.07,03/23/2023,0
LN004520,7,09-04-2024,10756.03,10756.03,09/04/2024,0
LN000574,10,03/12/2022,4157.7,4157.7,12 Mar 2022,0
LN004969,9,2024-07-25,3594.61,3594.61,25-07-2024,0
LN001409,11,08/04/2022,5100.63,5100.63,08/04/2022,0
LN000060,29,02-09-2023,8376.81,8376.81,02/09/2023,0
LN003972,14,11/20/2022,4597.77,4597.77,unknown,0
LN000745,19,05/31/2023,2681.4,1260.87,11/06/2023,11
